Presenter,Title
Brian Hay,Collaboration - The secret of criminal success
Bhojraj Parmar,The importance of threat modeling in ICS
Luke Pearson,Quick wins or great losses; Preventing and preparing for incident response
John Powell,The gap in Australia's defence
Bruce Large,From the vest to the flak jacket: How cyber security architecture and architects need to support secops
Kylie McDevitt,Researching critical infrastructure security
Cole Cornford,Scaled security from scratch for a global startup
Michael Skelton,Bug Bounties - What really makes a successful hunter?
Patrick Dwyer,WTF is running on your network?
Warren & Tashi, BGP hijacking and secure internet routing
